date,others,new
2025-11-16,5,1
2025-11-23,0,0
2025-11-30,2,0
2025-12-07,2,1
2025-12-14,1,0
2025-12-21,0,0
2025-12-28,8,0
2026-01-04,1,1
2026-01-11,3,0
2026-01-18,1,1
2026-01-25,5,1
2026-02-01,3,1
2026-02-08,0,1
